MQPHVIPKLRXGDJ-BWZBUEFSSA-N,C[C@@H]1[C@H]2C[C@@H](C2(C)C)CC1=O,6452089,19:1|1:3|2:1|3:3|4:1
VLCAYQIMSMPEBW-UHFFFAOYSA-N,CC(C(=C)C(=O)OC)O,5080248,1:2|3:1|77:1|14:1|7:1
QNHNSPNFZFBEQR-UHFFFAOYSA-N,C(CNCCN)C[Si](O)(O)O,110154,32:1|81:1|2:3|29:1|14:3
ZUWLIWZVBOETHU-JEIPZWNWSA-N,CCCCCCCCCCCCCCCCCOC(=O)/C=C/C(=O)OCCCCCCCCCCCCCCCCC,6437685,1:2|2:32|77:2|6:1
WPRAXAOJIODQJR-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(=O)C)C,77193,9:3|10:1|11:2|18:1
IYOLBFFHPZOQGW-UHFFFAOYSA-N,CC1=CC(=C(C(=C1Cl)C)Cl)O,8621,9:1|11:2|53:2|17:1
OOWGFJQYZCXHEY-UHFFFAOYSA-N,COC1=CC=C(C=C1)OCCO,220079,24:1|9:4|10:2|100:1
JYJURPHZXCLFDX-UHFFFAOYSA-N,COC1CCCCC1=O,110998,19:1|24:1|2:3|3:1
XHHZIFBFFGIFNI-UHFFFAOYSA-N,C1COCCOCCOC2=C(C=CC(=C2)Br)OCCOCCO1,2734267,64:1|9:3|2:4|27:6|10:3
PEZSCBMHDXNXQL-UHFFFAOYSA-N,C1CC1C(C2=CC=CS2)O,98065,107:1|2:2|3:2|14:1
HMNFSPVCKZFHGZ-UHFFFAOYSA-N,C=COCCCCOC(=O)C1=CC=C(C=C1)C(=O)OCCCCOC=C,3451971,2:6|5:2|9:4|10:2|77:2|25:2
QNZLAXONNWOLJY-UHFFFAOYSA-N,CCCCCCOC(=O)CC(=O)C,83577,1:1|2:5|18:1|22:1
QJGWNDLRYDTKEI-UHFFFAOYSA-N,CCCCNC(=O)CCC,347960,96:1|1:2|2:4
DEGXTCKEZCCZOP-UHFFFAOYSA-N,CC(C)CC1=CN=CC=C1,61715,1:2|2:1|3:1|38:1
QSCYGMBVVDDPGY-UHFFFAOYSA-N,CCCCCCCC(=O)OC(COC(=O)C)COC(=O)C,116724,1:1|2:7|3:1|21:2|22:1
RKOUCPMGBBKLNK-UHFFFAOYSA-N,CCC(C)C1CC(C(=C1)C(CC(C(C(=O)O)O)O)O)C(C)CC,92772,1:4|2:4|3:7|8:1|42:1|14:3
QPOVZYGNFWRMJE-UHFFFAOYSA-N,CCCCC(CC)CCCC,530112,1:3|2:7|3:1
LUGFNAYTNQMMMY-UHFFFAOYSA-N,CC1CCC(C(=O)C1)C,523055,19:1|1:2|2:2|3:2
LCXMEXLGMKFLQO-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl,38019,9:4|10:2|53:6
CHWNEIVBYREQRF-UHFFFAOYSA-N,CCC1=CC(=C(C=C1)O)OC,62465,1:1|9:3|10:1|12:1|17:1|24:1
BRUOAURMAFDGLP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Br)Br,68226,64:2|9:8|10:6
GAUOXRYNXHWONS-UHFFFAOYSA-N,C1C(C1(F)F)(F)F,138075,2:1|75:2
STKSNWOTLMRYFR-UHFFFAOYSA-N,C1=CC2=CC=C3C4=CC=C5C=CC6=C5C4=C(C=C6)C7=C3C2=C1C=C7,157703,9:8|10:12|6:2
CTURECVBUDVEDW-UHFFFAOYSA-N,CC(=C)CCCCCC(=C)C,524455,1:2|2:5|7:2
WDRSCFNERFONKU-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(C(=O)O)Br,167544,64:1|9:5|42:1|3:1|12:1
OHERZLWVBJCXOF-NSHDSACASA-N,C[C@@]12CCCCC1=CC(=O)CC2,7000123,8:1|1:1|2:5|19:1|4:1
YQTHRFIEKUQOBI-UHFFFAOYSA-N,C1CC2(CCC1(CC2)C(=O)O)C(F)(F)F,47003599,2:6|74:1|4:2|42:1
DHAZIUXMHRHVMP-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OCCCC,8047,1:2|2:14|22:1
ZKMMDUASHHHRSC-RWVUOVKPSA-N,CCOC(=O)C[C@@H](C(=O)OCC)NCCCC(C)CN[C@@H](CC(=O)OCC)C(=O)OCC.C(CCCN=C=O)CCN=C=O,44149872,32:2|1:5|2:12|3:3|77:2|109:2|22:2
COARODKCNGNOQZ-UHFFFAOYSA-N,CCCCCCOC(C)OC,108237,24:1|1:2|2:4|3:1|25:1
AEQDJSLRWYMAQI-KRWDZBQOSA-N,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,72301,35:1|9:4|10:4|12:3|13:1|24:4
GFVTUBMIUWNDMN-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)NCCNCCO,104666,32:1|1:1|2:14|14:1|96:1
RVOIBAZQSHFKMM-UHFFFAOYSA-N,CCCC(C)CC(C)(C)C(C)C,53428840,1:6|2:3|3:2|4:1
PNUFYSGVPVMNRN-UHFFFAOYSA-N,CC1CC(C(C1)C)C,17779,1:3|2:2|3:3
